"","Respondents","1. Do you give your consent to take part in this study?","2. What is your current age in years?","3. What is your gender?","4. Do you currently live in the UK?","5. What are the first 3 digits of your postcode? (e.g., HU5, YO1).","6. Please click the item that best describes the neighbourhood you live in:","7. Are you a member of an environmental charity or community group? (i.e., RSPB, ""Friends of"" group)","8. Do you participate in any form of nature recording? (e.g., via apps iNaturalist, Seek, Merlin or as an amateur naturalist)","9.1. 1. I always find beauty in nature.","9.2. 2. I always treat nature with respect.","9.3. 3. Being in nature makes me very happy.","9.4. 4. Spending time in nature is very important to me.","9.5. 5. I find being in nature really amazing.","9.6. 6. I feel part of nature.","10. How often do you visit blue spaces?","10.1. Rivers, canals and dykes","10.2. Park lakes","10.3. Coastal areas","10.4. Estuaries","10.5. Marinas","11. Have you heard of the term ""rewilding""?","12.1. Cities should have more blue spaces","12.2. Blue spaces are important for nature","12.3. Blue spaces in the UK are in poor condition","12.4. Blue spaces are important for my health and wellbeing","12.5. We should “rewild” UK blue spaces","13. Do you carry out any of these activities around blue spaces?","14. In three words describe a blue space in your local area","15. In three words describe a ""wild"" blue space in your local area","16. What wildlife have you seen around blue spaces?","17. What types of wildlife would you like to see more of?","18. Would you consider providing a blue space (e.g., large nature pond or mini bucket pond) in your garden, allotment or other available outdoor space?","19. How would you improve blue spaces for people and nature?","Start Date","Completion Date","age_factor","location","gender","10.1. Rivers, canals and dykes_binary","10.2. Park lakes_binary","10.3. Coastal areas_binary","10.4. Estuaries_binary","10.5. Marinas_binary","blue_space_total_frequency","blue_space_mean_frequency","blue_space_num_visited"
"149","Respondent 151","I give consent to take part in this study",64,"Female","Yes","GL5","Suburban (i.e., mostly houses, located just outside a city or town)","No","No","1","1","1","1","1","1",NA,52,12,2,0,1,"Yes",7,7,5,7,7,"Nature watching,Dog walking,Exercise (e.g., walking, kayaking, swimming)","Calm, happy, well","Teeming with wildlife","Heron, ducks, moorhen, kingfisher, Canada geese, otters, foxes, tadpole and frogs, dormouse","Bank and water voles, beavers","Maybe, I would consider providing a blue space with more information or assistance","Promotion of benefits to wildlife and people","2025-04-19 09:19:13 UTC","2025-04-19 14:05:53 UTC","4","Suburban (i.e., mostly houses, located just outside a city or town)","Female",1,1,1,0,1,67,13.4,4
"150","Respondent 152","I give consent to take part in this study",36,"Male","Yes","HU13","Suburban (i.e., mostly houses, located just outside a city or town)","No","No","1","1","1","2","1","2",NA,2,2,2,2,12,"No",6,6,6,6,6,"Exercise (e.g., walking, kayaking, swimming)","Little Switzerland, awesome","The River Humber?","Variety of birds","Unrealistic to see types which aren't common to us, but would be nice to see more of the wildlife we have","I would if I had the space","Unsure as I don't know enough about them to state how to improve one but as a basic guess, I can only assume that providing more areas for wildlife to flourish can only impact the world in a positive way, however that may be.","2025-04-20 12:14:26 UTC","2025-04-20 12:26:30 UTC","2","Suburban (i.e., mostly houses, located just outside a city or town)","Male",1,1,1,1,1,20,4,5
"151","Respondent 153","I give consent to take part in this study",21,"Female","Yes","PO31","Rural (i.e., mostly countryside with few houses or buildings)","Yes","Yes","1","1","1","1","1","1",NA,52,52,12,2,2,"Yes",7,7,7,7,7,"Nature watching,Dog walking,Exercise (e.g., walking, kayaking, swimming) ,Photography,Rock pooling","Picturesque, calming, clean","Clean, wildlife, coastal","Seals, many different types of birds, fish","More flora and fauna, in my other postcode area any wildlife other than a large amount of pigeons would be good","I would if I had the space","I would take greater care of them, provide methods to keep the water cleaner and reintroduce wildlife","2025-04-21 09:42:40 UTC","2025-04-21 09:49:18 UTC","1","Rural (i.e., mostly countryside with few houses or buildings)","Female",1,1,1,1,1,120,24,5
"152","Respondent 154","I give consent to take part in this study",20,"Female","Yes","M66","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","No","No","1","1","1","1","1","2",NA,12,2,2,0,0,"Yes",5,5,6,5,5,"Nature watching,Exercise (e.g., walking, kayaking, swimming)","Littered busy unkept","Open calm dirty","Ducks pigeons geese deer","Deer","No","Make sure they are well kept","2025-04-21 09:42:19 UTC","2025-04-21 09:50:19 UTC","1","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Female",1,1,1,0,0,16,3.2,3
"153","Respondent 155","I give consent to take part in this study",20,"Female","Yes","M6 6","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","No","No","1","1","1","1","1","4",NA,1,1,2,0,0,"Yes",1,3,7,5,5,"Dog walking,Exercise (e.g., walking, kayaking, swimming) ,Pond dipping","Good but feels manmade","Big, man made, not streams","Ducks","Insects that live around rivers, there's no verges on the banks just concrete","I would if I had the space","Natural blue spaces","2025-04-21 09:48:58 UTC","2025-04-21 09:59:13 UTC","1","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Female",1,1,1,0,0,4,0.8,3
"154","Respondent 156","I give consent to take part in this study",20,"Male","Yes","IP2","Rural (i.e., mostly countryside with few houses or buildings)","No","No","2","2","3","4","3","4",NA,2,2,12,1,1,"No",6,7,4,5,6,"Exercise (e.g., walking, kayaking, swimming)","Small hidden quiet","Overgrown sheltered large","Dragonflies kingfishers frogs various plants such as reeds","Aquatic birds","I would if I had the space","Working on reducing pollution and human impact via industry and tourism","2025-04-21 11:50:22 UTC","2025-04-21 11:55:28 UTC","1","Rural (i.e., mostly countryside with few houses or buildings)","Male",1,1,1,1,1,18,3.6,5
"155","Respondent 157","I give consent to take part in this study",55,"Female","Yes","Hu17","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","No","No","2","2","1","2","2","3",NA,52,2,12,2,1,"Yes",7,7,5,7,7,"Dog walking","Canal, peaceful, wildlife","There isn’t one","Ducks, blackbird, house sparrows","Kingfisher, great otter, pole cat, stoat, weasel","I already do","Make them bigger and give instructions to people on what we could do to help them thrive","2025-04-21 11:54:33 UTC","2025-04-21 12:03:36 UTC","3","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Female",1,1,1,1,1,69,13.8,5
"156","Respondent 158","I give consent to take part in this study",82,"Female","Yes","HU13","Suburban (i.e., mostly houses, located just outside a city or town)","No","No","1","1","1","1","2","2",NA,2,0,2,0,2,"No",7,7,5,5,5,"I don't carry out any of these activities","Dirty River Humber","Don't know.","Squirrels, foxes, deers.","Different species of birds.","No","Too many cats in my area.","2025-04-21 12:50:49 UTC","2025-04-21 13:02:26 UTC","4","Suburban (i.e., mostly houses, located just outside a city or town)","Female",1,0,1,0,1,6,1.2,3
"157","Respondent 159","I give consent to take part in this study",32,"Female","Yes","HU6","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Yes","Yes","1","1","3","1","1","1",NA,52,12,12,52,52,"Yes",7,7,5,7,7,"Nature watching,Dog walking,Exercise (e.g., walking, kayaking, swimming) ,Photography","River","Dyke","Birds; water moles","Beavers ; fish","I would if I had the space","Regain access to the river Hull for recreatiinal activities such as rowing or canoeing","2025-04-21 14:04:42 UTC","2025-04-21 14:10:10 UTC","2","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Female",1,1,1,1,1,180,36,5
"158","Respondent 160","I give consent to take part in this study",20,"Male","Yes","SG6","Suburban (i.e., mostly houses, located just outside a city or town)","No","No","2","1","2","3","3","2",NA,2,1,1,0,0,"Yes",6,4,7,6,6,"Dog walking,Exercise (e.g., walking, kayaking, swimming)","There's some ponds","Pond with fish","Fish, birds, bugs","Birds besides pigeons, hedgehogs, foxes,","I would if I had the space","Try to prevent the pollution of our r8vers","2025-04-21 14:14:42 UTC","2025-04-21 14:21:27 UTC","1","Suburban (i.e., mostly houses, located just outside a city or town)","Male",1,1,1,0,0,4,0.8,3
"159","Respondent 161","I give consent to take part in this study",35,"Male","Yes","Hu4","Suburban (i.e., mostly houses, located just outside a city or town)","No","No","4","3","4","1","1","1",NA,12,52,12,2,12,"No",7,7,7,7,6,"Exercise (e.g., walking, kayaking, swimming) ,Fishing,Photography","Local park with ponds, wildlife trees grass","Nature scenic peaceful","Birds","Bees","I would if I had the space","More bins","2025-04-22 06:01:23 UTC","2025-04-22 06:05:45 UTC","2","Suburban (i.e., mostly houses, located just outside a city or town)","Male",1,1,1,1,1,90,18,5
"160","Respondent 162","I give consent to take part in this study",30,"Female","Yes","SY13","Suburban (i.e., mostly houses, located just outside a city or town)","No","No","1","1","1","1","1","1",NA,52,52,2,2,2,"No",7,7,4,7,7,"Nature watching,Dog walking,Exercise (e.g., walking, kayaking, swimming) ,Rock pooling","Beautiful, damaged walkways","Poor access, beautiful","Ducks, geese, woodpeckers, jays","Birds","Maybe, I would consider providing a blue space with more information or assistance","Access, walk ways (often weather damaged ie the bridges over the lake)","2025-04-22 10:33:18 UTC","2025-04-22 10:41:33 UTC","2","Suburban (i.e., mostly houses, located just outside a city or town)","Female",1,1,1,1,1,110,22,5
"161","Respondent 163","I give consent to take part in this study",51,"Male","Yes","HU1","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Yes","Yes","1","3","1","1","1","4",NA,12,1,2,2,2,"Yes",6,6,6,6,6,"Nature watching,Exercise (e.g., walking, kayaking, swimming)","canal ducks fish","coastal puffins seals","Seals, fish, ducks, birds","dragonflies, newts, frogs","I would if I had the space","monitor them more closely to see what species they support","2025-04-22 14:58:58 UTC","2025-04-22 15:05:25 UTC","3","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Male",1,1,1,1,1,19,3.8,5
"162","Respondent 164","I give consent to take part in this study",52,"Other","Yes","LA4","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Yes","No","1","1","1","1","1","1",NA,12,12,52,52,1,"Yes",6,6,5,6,6,"Nature watching,Exercise (e.g., walking, kayaking, swimming) ,Photography,Feeding wildlife (e.g., ducks, fish),Rock pooling","it's Morecambe Bay","grassy salt marshes","many kinds of sea birds, shellfish","otters","I would if I had the space","keep cars out, people can only go using a electric bus.","2025-04-22 17:37:16 UTC","2025-04-22 17:42:51 UTC","3","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Other",1,1,1,1,1,129,25.8,5
"163","Respondent 165","I give consent to take part in this study",49,"Male","Yes","Pl6","Suburban (i.e., mostly houses, located just outside a city or town)","No","No","1","2","1","2","2","1",NA,52,12,12,12,12,"No",7,7,6,7,4,"Dog walking,Exercise (e.g., walking, kayaking, swimming) ,Photography","Peaceful Calming Creative","Rural Interesting Eerie","Rabbits, pheasants, other birds, deer moles","N/A","I would if I had the space","Promote, Fund, secure for dog walks","2025-04-22 21:55:50 UTC","2025-04-22 22:01:50 UTC","3","Suburban (i.e., mostly houses, located just outside a city or town)","Male",1,1,1,1,1,100,20,5
"164","Respondent 166","I give consent to take part in this study",34,"Female","Yes","CH6","Suburban (i.e., mostly houses, located just outside a city or town)","No","No","2","2","2","2","2","4",NA,2,1,2,2,1,"Yes",6,7,4,6,7,"Nature watching","Small local pond with water fowl","Large river estuary","Ducks, geese, coots","Fish","I would if I had the space","Better maintenance and respect","2025-04-23 05:43:52 UTC","2025-04-23 05:48:27 UTC","2","Suburban (i.e., mostly houses, located just outside a city or town)","Female",1,1,1,1,1,8,1.6,5
"165","Respondent 167","I give consent to take part in this study",45,"Female","Yes","BS1","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Yes","Yes","1","1","1","1","1","2",NA,12,2,2,2,52,"Yes",7,7,6,6,6,"Nature watching,Exercise (e.g., walking, kayaking, swimming)","bristol harbourside: very urban, lined with restaurants, but various gulls and ducks, and people sitting by the side on a sunny side. Its a focal point for relaxation.","I live inland and none are wild.","dragonflies","dragonflies","I would if I had the space","prevent pollution from nutrient run-off. Too many suffer from eutrophication.","2025-04-28 07:35:22 UTC","2025-04-28 07:44:00 UTC","3","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Female",1,1,1,1,1,70,14,5
"166","Respondent 168","I give consent to take part in this study",43,"Male","Yes","HU7","Suburban (i.e., mostly houses, located just outside a city or town)","No","Yes","1","1","1","1","1","1",NA,2,1,2,2,1,"Yes",7,7,7,7,7,"Nature watching,Fishing,Photography,Pond dipping","Former dew pond on nearby field","Pond on nearby field","Newts, frogs, aquatic plants & insects","Amphibians","I already do","Restrict access to reduce asb, ensure development of blue spaces are minimsed","2025-04-30 16:05:46 UTC","2025-04-30 16:10:46 UTC","2","Suburban (i.e., mostly houses, located just outside a city or town)","Male",1,1,1,1,1,8,1.6,5
"167","Respondent 169","I give consent to take part in this study",41,"Female","Yes","Hu12","Suburban (i.e., mostly houses, located just outside a city or town)","Yes","Yes","1","1","1","1","1","1",NA,52,2,12,52,12,"Yes",6,7,6,7,5,"Nature watching,Exercise (e.g., walking, kayaking, swimming) ,Photography,Feeding wildlife (e.g., ducks, fish),Rock pooling","Tranquil, wild, restorative","Wildlife, green, polluted","Birds (various) , bees, butterflies, dragonflies, rabbits, deer","More of the same","I would if I had the space","Litter pick, native wildflower seed bomb, point out wildlife I see to others around me, contribute to nature spotting and conservation","2025-05-06 09:47:37 UTC","2025-05-06 09:55:09 UTC","2","Suburban (i.e., mostly houses, located just outside a city or town)","Female",1,1,1,1,1,130,26,5
"168","Respondent 170","I give consent to take part in this study",58,"Female","Yes","HU5","Suburban (i.e., mostly houses, located just outside a city or town)","No","No","1","1","1","1","2","2",NA,2,12,2,12,12,"Yes",7,7,6,6,7,"Nature watching,Exercise (e.g., walking, kayaking, swimming)","calming, wildlife, accessible","envigorating, expansive, wild","variety of birds, wildflowers, fish","butterflies, bees","Maybe, I would consider providing a blue space with more information or assistance","Reduce the amount of litter and rubbish to protect wildlife and make them more attractive to people.","2025-05-07 15:23:56 UTC","2025-05-07 15:33:59 UTC","3","Suburban (i.e., mostly houses, located just outside a city or town)","Female",1,1,1,1,1,40,8,5
"169","Respondent 171","I give consent to take part in this study",29,"Female","Yes","HU4","Suburban (i.e., mostly houses, located just outside a city or town)","No","Yes","2","2","2","3","3","3",NA,2,12,1,1,2,"Yes",6,6,6,6,6,"Exercise (e.g., walking, kayaking, swimming) ,I don't carry out any of these activities","difficult to get to, busy, litter","far away, transport problems, old people","birds","not sure","I would if I had the space","make them more accessible to young people","2025-05-08 15:46:24 UTC","2025-05-08 15:50:35 UTC","1","Suburban (i.e., mostly houses, located just outside a city or town)","Female",1,1,1,1,1,18,3.6,5
"170","Respondent 172","I give consent to take part in this study",20,"Female","Yes","Hu1","Rural (i.e., mostly countryside with few houses or buildings)","No","Yes","1","1","1","3","2","5",NA,12,2,52,2,2,"Yes",6,7,7,4,4,"Nature watching,Dog walking,Exercise (e.g., walking, kayaking, swimming) ,Photography,Feeding wildlife (e.g., ducks, fish),Rock pooling","polluted","weeds, algae, insects","insects and birds","ducks, birds and fish","I already do","more plant diversity, keep the area cleaner, remove algae build up","2025-05-11 08:59:58 UTC","2025-05-11 09:03:31 UTC","1","Rural (i.e., mostly countryside with few houses or buildings)","Female",1,1,1,1,1,70,14,5
"171","Respondent 173","I give consent to take part in this study",41,"Female","Yes","HU5","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","No","Yes","1","1","1","1","1","1",NA,52,52,12,12,12,"Yes",7,7,7,7,7,"Nature watching,Dog walking,Exercise (e.g., walking, kayaking, swimming) ,Photography,Feeding wildlife (e.g., ducks, fish)","Beautiful, calm, dump.","Beautiful, calm, dump.","Woodpeckers, warbles, wrens, tits, finches, mallards, geese, swans, terrapins, fish, rats, voles.","Everything!","Maybe, I would consider providing a blue space with more information or assistance","Walks and talks, litter picking, introducing more native wildflowers, safe spaces for wildlife to reproduce.","2025-05-14 11:47:32 UTC","2025-05-14 11:46:05 UTC","2","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Female",1,1,1,1,1,140,28,5
"172","Respondent 174","I give consent to take part in this study",60,"Female","Yes","Hu18","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Yes","Yes","1","1","1","1","1","2",NA,12,1,52,2,2,"Yes",7,7,7,7,6,"Nature watching,Exercise (e.g., walking, kayaking, swimming)","Beach sea space","Rocks sand waves","Dolphins sanderlings Puffins guillemots warblers chifchaff deer  wagtails gulls sparrows black caps  butterflies seals","Everything ...I'd like to see more sea weed and wind life on the beach but we don't have rock pools","I already do","Accessibility ....make them near, make them for everyone not too remote . Public transport","2025-05-14 18:35:45 UTC","2025-05-14 18:41:38 UTC","4","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Female",1,1,1,1,1,69,13.8,5
"173","Respondent 175","I give consent to take part in this study",26,"Male","Yes","HU5","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","No","Yes","2","2","1","1","1","2",NA,52,12,12,12,2,"Yes",7,7,7,7,6,"Nature watching,Dog walking,Exercise (e.g., walking, kayaking, swimming) ,Fishing,Photography,Feeding wildlife (e.g., ducks, fish),Rock pooling","peaceful, interesting, threatened","unrestricted, alive, beautiful","fish, aquatic and terrestrial inverts, algae, flowering plants, trees, amphibians, terrestrial and aquatic inverts, fungi, aquatic an non-aquatic birds, reptiles","the majestic eel, diadromous fish, amphibians, reptiles, aquatic mammals, carnivorous mammals, water fowl,","I would if I had the space","improved environmental monitoring, management of antisocial behaviour, better community outreach and education on the importance of local blue spaces, pollution mitigation, mitigation for/removal of hazardous/obstructive infrastructure","2025-05-16 11:17:14 UTC","2025-05-16 11:32:29 UTC","1","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Male",1,1,1,1,1,90,18,5
"174","Respondent 176","I give consent to take part in this study",37,"Male","Yes","Hu8","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Yes","No","1","1","1","1","1","1",NA,52,12,12,12,12,"Yes",7,7,7,7,7,"Nature watching,Exercise (e.g., walking, kayaking, swimming) ,Fishing,Photography,Feeding wildlife (e.g., ducks, fish),Rock pooling","Calm, beautiful, polluted","Calm, beautiful, polluted","Otters, kingfishers, egret, heron, fish","Fish","I already do","Stop water companies discharging sewage overflow","2025-05-19 10:34:05 UTC","2025-05-19 10:49:08 UTC","2","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Male",1,1,1,1,1,100,20,5
"175","Respondent 177","I give consent to take part in this study",58,"Male","Yes","Hu6","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","No","No","1","1","1","1","1","1",NA,52,2,12,12,1,"Yes",7,7,4,7,6,"Nature watching,Dog walking,Fishing,Feeding wildlife (e.g., ducks, fish)","Anywhere green belt and in spoilt","Untouched countryside","Deer badgers otters","Owls and birds of prey","I would if I had the space","Ban parking","2025-05-19 10:45:16 UTC","2025-05-19 10:50:47 UTC","3","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Male",1,1,1,1,1,79,15.8,5
"176","Respondent 178","I give consent to take part in this study",27,"Female","Yes","HU3","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Yes","Yes","1","1","1","1","1","3",NA,52,12,12,2,12,"Yes",6,6,5,6,6,"Nature watching,Exercise (e.g., walking, kayaking, swimming) ,Photography","Calm, open inviting","Overgrown, nature, beauty","Birds, fish bugs","Birds and land animals such as otters","I would if I had the space","Planting more flowers","2025-05-19 10:47:06 UTC","2025-05-19 10:52:10 UTC","1","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Female",1,1,1,1,1,90,18,5
"177","Respondent 179","I give consent to take part in this study",49,"Male","Yes","HU13","Suburban (i.e., mostly houses, located just outside a city or town)","Yes","No","1","1","1","1","1","1",NA,52,2,12,52,12,"Yes",6,7,4,7,5,"Nature watching,Exercise (e.g., walking, kayaking, swimming) ,Photography","Relaxing flat river","Wild life reserve","Otters, deer, snakes, birds","Otters","I would if I had the space","Reduced contamination for individuals activities eg private boat pollution and corporate contamination such as sewage.","2025-05-19 10:54:10 UTC","2025-05-19 11:02:33 UTC","3","Suburban (i.e., mostly houses, located just outside a city or town)","Male",1,1,1,1,1,130,26,5
"178","Respondent 180","I give consent to take part in this study",57,"Male","Yes","Hu13","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","No","No","2","2","1","1","1","3",NA,52,12,12,52,2,"Yes",6,6,6,6,5,"Exercise (e.g., walking, kayaking, swimming)","Calming.  Open.  Light","Open.  Natural  Pretty","Birds. Fish","Insects","Maybe, I would consider providing a blue space with more information or assistance","Improve wheeled access. Buggy and wheelchair","2025-05-19 11:23:20 UTC","2025-05-19 11:37:48 UTC","3","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Male",1,1,1,1,1,130,26,5
"179","Respondent 181","I give consent to take part in this study",62,"Male","Yes","Hu10","Suburban (i.e., mostly houses, located just outside a city or town)","No","No","1","1","1","1","1","1",NA,12,52,12,12,1,"Yes",7,7,7,7,7,"Exercise (e.g., walking, kayaking, swimming) ,Photography","Great outdoor environment","Abused by some","Seagulls","Otter kingfisher","I would if I had the space","Keep it clean","2025-05-19 12:05:40 UTC","2025-05-19 12:12:12 UTC","4","Suburban (i.e., mostly houses, located just outside a city or town)","Male",1,1,1,1,1,89,17.8,5
"180","Respondent 182","I give consent to take part in this study",42,"Female","Yes","Hu1","Suburban (i.e., mostly houses, located just outside a city or town)","Yes","No","1","1","1","1","1","3",NA,52,12,12,52,12,"Yes",6,7,7,7,7,"Nature watching,Exercise (e.g., walking, kayaking, swimming) ,Photography","Beautiful calm respected","Disrespected uncared for","Birds and deer","Fish","I would if I had the space","More accessible","2025-05-19 13:26:25 UTC","2025-05-19 13:29:16 UTC","2","Suburban (i.e., mostly houses, located just outside a city or town)","Female",1,1,1,1,1,140,28,5
"181","Respondent 183","I give consent to take part in this study",59,"Male","Yes","Dn3","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","No","No","1","1","1","1","1","1",NA,52,12,12,1,12,"Yes",7,7,7,7,7,"Dog walking,Exercise (e.g., walking, kayaking, swimming)","Canal,open space","Woodland, wild plants","Snakes, water voles, birds","Water creatures","I would if I had the space","Need more of them.","2025-05-19 15:44:58 UTC","2025-05-19 15:56:05 UTC","3","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Male",1,1,1,1,1,89,17.8,5
"182","Respondent 184","I give consent to take part in this study",53,"Female","Yes","Yo2","Suburban (i.e., mostly houses, located just outside a city or town)","No","No","2","1","1","1","1","3",NA,12,1,12,2,1,"Yes",6,6,4,7,6,"Nature watching,Exercise (e.g., walking, kayaking, swimming) ,Photography,Rock pooling","Peaceful,interesting, Canal",".","Heron, Deer, Fish, Ducks, various Birds, too many animals to mention","All","I would if I had the space","Improve pollution if possible","2025-05-19 18:51:20 UTC","2025-05-19 19:05:03 UTC","3","Suburban (i.e., mostly houses, located just outside a city or town)","Female",1,1,1,1,1,28,5.6,5
"183","Respondent 185","I give consent to take part in this study",43,"Male","Yes","Hu15","Rural (i.e., mostly countryside with few houses or buildings)","Yes","Yes","2","2","1","1","1","1",NA,52,12,12,52,2,"Yes",5,7,3,7,5,"Nature watching,Fishing,Photography,Pond dipping","Amazing wild-ish corridor","No such thing","Bittern","Waterfowl","I already do","Reconnect the drains with the people. Improve water levels in Beverley and Barmston Drain","2025-05-19 19:07:17 UTC","2025-05-19 19:14:16 UTC","2","Rural (i.e., mostly countryside with few houses or buildings)","Male",1,1,1,1,1,130,26,5
"184","Respondent 186","I give consent to take part in this study",46,"Female","Yes","HU6","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Yes","No","1","1","1","1","1","3",NA,12,2,12,2,2,"Yes",7,7,5,6,7,"Nature watching,Dog walking,Exercise (e.g., walking, kayaking, swimming) ,Rock pooling","Turbid river Hull","Dynamic Humber Estuary","Swans, moorhens, coots, rats, foxes, frogs, kingfishers, fish","Otters, although seeing more of all wildlife would be wonderful","I already do","Increase understanding of nature in those spaces and share love for those spaces to hopefully encourage other to enjoy, respect and care for blue spaces","2025-05-19 11:56:36 UTC","2025-05-19 20:09:24 UTC","3","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Female",1,1,1,1,1,30,6,5
"185","Respondent 187","I give consent to take part in this study",41,"Female","Yes","Hu5","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Yes","No","1","1","1","1","1","2",NA,12,52,12,52,12,"Yes",7,7,7,7,7,"Nature watching,Exercise (e.g., walking, kayaking, swimming) ,Photography,Rock pooling","Brown estuarine expanse","North sea coast","Kingfishers, seals, sharks, fish, puffins, gannets, ducks, jellyfish","Birds","I already do","No sewerage in the sea or lakes","2025-05-20 11:25:23 UTC","2025-05-20 11:29:41 UTC","2","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Female",1,1,1,1,1,140,28,5
"186","Respondent 188","I give consent to take part in this study",54,"Male","Yes","HU3","Suburban (i.e., mostly houses, located just outside a city or town)","No","No","2","2","1","3","3","3",NA,52,12,52,2,12,"Yes",6,6,5,6,6,"Dog walking,Photography","Local marina","County park","Birds","Mammals","I already do","Become more accessible and provide activities to entice people to visit","2025-05-20 15:31:18 UTC","2025-05-20 15:35:02 UTC","3","Suburban (i.e., mostly houses, located just outside a city or town)","Male",1,1,1,1,1,130,26,5
"187","Respondent 189","I give consent to take part in this study",46,"Female","Yes","HU8","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","No","No","1","1","2","2","1","3",NA,2,52,12,52,12,"Yes",6,6,5,4,5,"Dog walking,Exercise (e.g., walking, kayaking, swimming) ,Photography,Feeding wildlife (e.g., ducks, fish)","Local park","Localnpark","Foxes squirrel swans geese moor hens","All","No","More accessible and safer","2025-05-20 15:32:31 UTC","2025-05-20 15:37:07 UTC","3","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Female",1,1,1,1,1,130,26,5
"188","Respondent 190","I give consent to take part in this study",25,"Female","Yes","YO1","Suburban (i.e., mostly houses, located just outside a city or town)","No","No","1","2","1","2","2","4",NA,2,2,2,0,1,"Yes",7,7,5,5,7,"Exercise (e.g., walking, kayaking, swimming)","canal, algae, ducks","sea, waves, grey","ducks, birds, rats","fish, herons, frogs","No","cleaned regularly, maintenance of bio diversity","2025-05-20 17:16:44 UTC","2025-05-20 17:20:23 UTC","1","Suburban (i.e., mostly houses, located just outside a city or town)","Female",1,1,1,0,1,7,1.4,4
"189","Respondent 191","I give consent to take part in this study",35,"Male","Yes","HU7","Suburban (i.e., mostly houses, located just outside a city or town)","No","No","2","2","1","1","3","3",NA,12,12,12,52,52,"Yes",6,7,7,6,6,"Exercise (e.g., walking, kayaking, swimming) ,Photography","Humber estuary","Humber estuary","Birds mainly","Insects","No","Provide good facilities around them","2025-05-20 18:37:40 UTC","2025-05-20 18:41:13 UTC","2","Suburban (i.e., mostly houses, located just outside a city or town)","Male",1,1,1,1,1,140,28,5
"190","Respondent 192","I give consent to take part in this study",32,"Female","Yes","Hu5","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Yes","Yes","2","1","1","1","1","2",NA,52,52,12,12,52,"Yes",7,7,5,7,7,"Nature watching,Dog walking,Exercise (e.g., walking, kayaking, swimming) ,Photography","Organised, established, polluted","Polluted,","Birds, fish","Otters, beavers","I would if I had the space","Litter clean up, make them more accessible for activities","2025-05-20 21:40:40 UTC","2025-05-20 21:43:55 UTC","2","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Female",1,1,1,1,1,180,36,5
